ranking,club name,country,point score,1 year change,symbol change
875,Chiangrai United,Thailand,1363,202,-
1659,Chicago Fire,United States,1283,32,-
617,Chicken Inn FC,Zimbabwe,1407,45,+
783,Chievo Verona,Italy,1377,19,-
1642,Chikhura,Georgia,1285,16,-
2644,Chinandega FC,Nicaragua,1200,12,-
1667,Chippa United,South Africa,1283,33,-
2391,Chirag Kerala,India,1230,32,-
2436,Chiredzi FC,Zimbabwe,1226,29,-
2617,Chivas USA,United States,1206,13,-
889,Chonburi FC,Thailand,1361,41,+
1527,Chongqing Liangjiang Athletic F.C.,China PR,1293,293,-
1548,Chornomorets Odesa,Ukraine,1291,289,-
980,Chorrillo,Panama,1350,0,-
904,Churchill Brothers SC,India,1359,24,-
2301,Cibalia,Croatia,1237,46,-
2322,Cibao,Denmark,1236,40,-
1529,Ciclon,Bolivia,1293,27,-
451,Cienciano,Peru,1447,247,+
1724,Clan Juvenil,Ecuador,1277,1,-
533,Clermont Foot,France,1428,99,-
886,Cliftonville,Northern Ireland,1361,417,+
521,Club Africain,Tunisia,1430,17,+
576,Club Atl��tico Bucaramanga,Colombia,1418,34,+
1110,Club Atl��tico Grau,Peru,1335,19,+
2416,Club Atletico Pantoja,Denmark,1228,32,-
208,Club Atl��tico Platense,Argentina,1538,226,+
800,Club Atletico Progreso,Uruguay,1374,54,-
525,Club Atletico Torque,Uruguay,1429,47,-
74,Club Brugge,Belgium,1657,0,+
785,Club Deportivo Maldonado,Uruguay,1376,211,+
2190,Club Olympique de M��denine,Tunisia,1245,44,-
2440,Club Omnisports de Korhogo (CIV),Ivory Coast,1226,97,-
1176,Club Petrolero,Bolivia,1328,4,-
270,Club Puebla,Mexico,1510,38,+
1165,Club River Plate,Paraguay,1328,73,-
2367,Club Sando,Trinidad and Tobago,1232,38,-
300,Club Sport Herediano,Costa Rica,1497,81,+
737,Club Tijuana,Mexico,1386,97,-
1363,CNI,Peru,1307,5,-
2337,CO Bouafle,Ivory Coast,1235,40,-
2282,Coatepeque,Guatemala,1240,38,-
865,Coban Imperial,Guatemala,1365,153,-
890,Cobreloa,Chile,1361,10,-
586,Cobresal,Chile,1416,74,+
2048,Cobresol,Peru,1254,0,-
1705,CODM Mekn��s,Morocco,1279,4,-
986,Coleraine,Northern Ireland,1349,207,-
260,Colo Colo,Chile,1514,295,+
798,Colombe du Dja et Lobo,Cameroon,1375,284,+
2409,Col��n C-3,Panama,1229,32,-
305,Col��n Santa Fe,Argentina,1494,439,+
736,Colorado Rapids,United States,1386,277,+
725,Columbus Crew,United States,1389,151,-
1492,Comerciantes Unidos,Peru,1297,20,-
2243,Concordia Chiajna,Romania,1242,39,-
333,Connah's Quay,Wales,1484,24,-
779,Consadole Sapporo,Japan,1378,50,-
1069,Coquimbo Unido,Chile,1340,319,-
880,C��rdoba CF,Spain,1363,13,-
80,Corinthians,Brazil,1649,91,+
349,Coritiba,Brazil,1477,145,+
707,Cork City,Ireland,1391,12,-
2542,Corona Bra?ov,Romania,1217,23,-
1142,Cortulu��,Colombia,1331,44,+
2082,Cosmos de Bafia,Cameroon,1252,0,-
1726,Costuleni,Moldova,1277,0,-
367,Coton Sport,Cameroon,1471,6,-
217,CR Belouizdad,Algeria,1533,142,+
813,Cracovia Krak��w,Poland,1372,17,-
2315,Cranborne Bullets FC,Zimbabwe,1237,209,-
626,Crici��ma,Brazil,1405,5,-
2593,Croatia Sesvete,Croatia,1209,18,-
585,Crotone,Italy,1416,6,-
2034,Crown FC,Nigeria,1254,0,-
1645,Crucero del Norte,Argentina,1285,15,-
906,Crusaders,Northern Ireland,1359,124,+
237,Cruz Azul,Mexico,1526,159,-
304,Cruzeiro,Brazil,1495,1,-
56,Crystal Palace,England,1685,110,+
684,CS Alagoano AL,Brazil,1394,7,-
520,CS Constantine,Algeria,1430,63,+
782,CS Deportivo Pereira,Colombia,1377,244,+
2162,CS Fola Esch,Luxembourg,1247,56,-
2013,CS Hammam-Lif,Tunisia,1255,114,-
2379,CS Makiso,Congo DR,1231,37,-
590,CS Mar��timo Madeira,Portugal,1415,113,+
2218,CS Mioveni,Romania,1243,452,+
465,CS Petrocub,Moldova,1443,194,+
346,CS Sfaxien,Tunisia,1478,52,-
239,CS Universitatea Craiova,Romania,1525,51,+
1682,CS Uruguay,Costa Rica,1281,7,-
302,CSD Comunicaciones,Guatemala,1496,35,+
358,CSD Municipal,Guatemala,1474,26,+
157,CSKA Moskva,Russia,1572,5,+
2124,CSMS Ia?i,Romania,1249,46,-
2180,CSyD Carch��,Guatemala,1246,42,-
2580,CSyD Nueva Concepci��n,Guatemala,1211,1140,-
1272,C��cuta Deportivo,Colombia,1317,3,-
263,Cuiaba,Brazil,1513,185,+
331,?ukari?ki,Serbia,1485,27,+
1106,Cumbay�� FC,Ecuador,1335,145,-
2172,Cunupia FC,Trinidad and Tobago,1247,41,-
547,Curic�� Unido,Chile,1424,614,+
996,Cusco FC,Peru,1347,264,-
1804,Dacia Buiucani,Moldova,1270,9,-
167,Dacia Chisinau,Moldova,1567,13,-
407,Daegu FC,South Korea,1460,22,+
2437,Daejeon Citizen,South Korea,1226,49,+
2766,Dainava Alytus,Lithuania,1128,2,+
1674,Dalian Professional FC,China PR,1282,149,-
1609,Dalian Shide,China PR,1287,19,-
1805,Dalkurd FF,Sweden,1270,9,-
950,Damac FC,Saudi Arabia,1354,140,+
1271,Damash,Iran,1317,4,-
1765,Dan Kassawa,Niger,1273,0,-
633,Danubio,Uruguay,1403,221,+
386,Darmstadt,Germany,1467,11,-
2388,Dauphins Noirs,Congo DR,1230,50,+
1297,DC United,United States,1314,57,+
1073,De Graafschap,Netherlands,1339,11,-
2482,Debo Club,Mali,1222,31,-
968,Debrecen,Hungary,1352,111,-
1766,De?i?,Montenegro,1273,441,+
799,Defence Force FC,Trinidad and Tobago,1375,18,-
73,Defensa y Justicia,Argentina,1657,8,-
1232,Defensor La Bocana,Peru,1322,9,-
719,Defensor Sporting,Uruguay,1389,4,+
1663,Degerfors IF,Sweden,1283,397,-
440,Delfin SC,Ecuador,1451,33,-
1916,Delhi Dynamos FC,India,1262,5,-
1399,Delta Force FC,Nigeria,1303,5,-
2283,Deltras Sidoarjo,Indonesia,1240,38,-
523,Dempo SC,India,1430,2,-
1563,Dengu��l�� Sport,Ivory Coast,1290,23,-
2010,Denizlispor,Turkey,1256,2,-
1011,Deportes Iquique,Chile,1345,9,-
1092,Deportes La Serena,Chile,1338,385,-
1562,Deportes Quind��o,Colombia,1290,158,+
836,Deportes Temuco,Chile,1369,14,-
2408,Deportiva Carmelita,Costa Rica,1229,31,-
901,Deportiva San Carlos,Costa Rica,1359,41,+
1608,Deportivo Achuapa,Guatemala,1287,46,+
299,Deportivo Alaves,Spain,1497,146,-
1530,Deportivo Anzo��tegui,Venezuela,1293,27,-
988,Deportivo Binacional,Peru,1349,241,+
324,Deportivo Cali,Colombia,1487,1,-
1125,Deportivo Capiat��,Paraguay,1333,7,-
1255,Deportivo Carapegu��,Paraguay,1319,2,-
1814,Deportivo Chiantla,Guatemala,1270,10,-
673,Deportivo Cuenca,Ecuador,1397,160,+
1607,Deportivo del Este,Panama,1287,4,-
559,Deportivo Heredia,Guatemala,1421,5,-
330,Deportivo La Coru?a,Spain,1486,1,-
1248,Deportivo La Guaira FC,Venezuela,1319,497,-
981,Deportivo Lara,Venezuela,1350,214,-
2331,Deportivo Las Sabanas,Nicaragua,1235,40,-
1620,Deportivo Llacuabamba,Peru,1287,20,-
1220,Deportivo Los Caimanes,Peru,1323,9,-
647,Deportivo Malacateco,Guatemala,1401,566,+
1958,Deportivo Marquense,Guatemala,1260,3,-
1942,Deportivo Mixco,Guatemala,1260,2,-
1050,Deportivo Municipal,Peru,1341,356,+
823,Deportivo Pasto,Colombia,1370,364,-
2421,Deportivo Petare,Venezuela,1228,32,-
1051,Deportivo Quevedo,Ecuador,1341,0,-
1305,Deportivo Quito,Ecuador,1314,6,-
1269,Deportivo Sanarate,Guatemala,1318,2,-
1493,Deportivo Santan��,Paraguay,1297,20,-
476,Deportivo Saprissa,Costa Rica,1440,98,-
2134,Deportivo Savio,Honduras,1249,43,-
517,Deportivo T��chira,Venezuela,1431,5,+
1197,Deportivo Walter Ferretti,Nicaragua,1325,61,+
311,Deportivo Xerez,Spain,1491,5,-
2175,Deportivo Zulia,Venezuela,1246,42,-
519,Derry City,Ireland,1431,198,+
1351,Desportivo Da Hu��la,Angola,1308,56,+
2567,Destroyers,Bolivia,1213,23,-
2123,Diables Noirs,Congo,1250,46,-
2204,Diaraf,Senegal,1244,39,-
2550,Dibba Al-Fujairah Club,United Arab Emirates,1216,22,-
928,Difaa El Jadida,Morocco,1357,174,-
2197,Differdange 03,Luxembourg,1245,41,-
1081,Dijon,France,1339,15,-
1046,Dila Gori,Georgia,1341,233,+
2657,Dinamo Bender,Moldova,1197,11,-
1583,Dinamo Bucure?ti,Romania,1289,700,-
215,Dinamo Minsk,Belarus,1536,89,+
163,Dinamo Moskva,Russia,1567,98,+
2635,Dinamo Samarkand,Uzbekistan,1202,11,-
452,Dinamo Tbilisi,Georgia,1447,3,+
2050,Dinamo Vranje,Serbia,1253,1,-
54,Dinamo Zagreb,Croatia,1686,3,-
1699,Dinamo-Auto,Moldova,1280,22,+
1464,Di��sgy?r,Hungary,1299,28,-
923,Diriang��n FC,Nicaragua,1357,277,+
1734,Diyarbakirspor,Turkey,1276,1,-
396,Djoliba AC,Mali,1463,10,-
268,Djurg?rden,Sweden,1512,30,-
2709,Dnepr Mogilev,Belarus,1181,8,-
214,Dnipro Dnipropetrovsk,Ukraine,1536,1,-
376,Dolphins FC,Nigeria,1469,250,+
2473,Domant FC,Angola,1223,27,-
508,Dom?ale,Slovenia,1433,131,-
1247,Don Bosco SC,Congo DR,1319,234,+
2333,Dongo,Zimbabwe,1235,39,-
1042,Dorados Sinaloa,Mexico,1342,0,-
1744,Douanes Niamey,Niger,1275,2,-
2459,Douglas Warriors,Zimbabwe,1224,26,-
2046,Doxa Dramas,Greece,1254,0,-
1257,Doxa Katokopia,Cyprus,1318,3,-
1717,Dragon,Tahiti,1278,3,-
2420,Drag��n,El Salvador,1228,32,-
1815,Dragon de Yaound��,Cameroon,1270,236,-
1629,Dragons,Congo DR,1286,18,-
1790,Drava,Slovenia,1271,9,-
1283,DRB Tadjenanet,Algeria,1316,6,-
1701,Dreams FC,Ghana,1280,39,+
1780,Drogheda United,Ireland,1272,126,+
275,DSC Arminia Bielefeld,Germany,1508,97,-
2195,DSK Shivajians,India,1245,42,-
2656,Dubai Club,United Arab Emirates,1197,10,-
1865,Dubnica,Slovakia,1266,11,-
1483,Duguwolofila,Mali,1297,22,-
1946,Dukla Banska Bystrica,Slovakia,1260,3,-
1625,Dukla Praha,Czech Republic,1286,19,-
415,Dunajska Streda,Slovakia,1458,95,-
1882,Duna��jv��ros P��lhalma SE,Hungary,1265,5,-
1824,Dunav Ruse,Bulgaria,1269,11,-
1748,Dunbeholden FC,Jamaica,1275,336,+
317,Dundalk FC,Ireland,1489,73,-
2615,Dundee FC,Scotland,1206,39,+
1045,Dundee United,Scotland,1341,312,+
2274,Dunfermline Athletic,Scotland,1240,38,-
2767,Dungannon Swifts,Northern Ireland,1122,0,-
63,Dynamo Kyiv,Ukraine,1669,3,-
278,Dynamos,Zimbabwe,1507,6,+
2467,D?iugas Tel?iai,Lithuania,1224,156,-
1830,Eagles,Zimbabwe,1268,12,-
552,East Bengal Club,India,1423,11,-
2338,Eastern Sports Club,Hong Kong,1235,40,-
931,Eastern Stars,Papua New Guinea,1356,12,-
910,Eastern Suburbs,New Zealand,1359,9,-
1436,Ebusua Dwarfs,Ghana,1301,103,+
283,EC Juventude,Brazil,1504,138,+
738,Eding Sport FC,Cameroon,1386,419,+
2445,EFYM,Ivory Coast,1225,24,-
2516,Eger,Hungary,1219,28,-
1669,EGS Gafsa,Tunisia,1283,11,-
254,Eibar,Spain,1517,2,-
426,Eintracht Braunschweig,Germany,1454,7,-
50,Eintracht Frankfurt,Germany,1695,21,-
1532,Ekranas,Lithuania,1293,28,-
1858,El Dakhleya,Egypt,1267,15,-
2145,El Dorado,Denmark,1248,42,-
1628,El Entag El Harby,Egypt,1286,142,+
829,El Geish,Egypt,1370,117,+
1508,El Gounah,Egypt,1295,226,-
537,El Jaish (Doha),Qatar,1427,3,+
1240,El Kanemi Warriors,Nigeria,1321,3,-
2032,El Mansura,Egypt,1254,0,-
2060,El Minya,Egypt,1253,1,-
1111,El Nacional,Ecuador,1335,12,-
2227,El Nasr Tadeen,Egypt,1243,40,-
2558,El Nsoor,Sudan,1215,22,-
1967,El Raja,Egypt,1259,2,-
974,El Tanque Sisley,Uruguay,1350,15,-
178,El Zamalek,Egypt,1557,38,-
1982,El-Sharkia Lel Dokhan (Eastern Company SC),Egypt,1258,541,-
934,Elaz??spor,Turkey,1356,13,-
155,Elche,Spain,1573,36,+
2194,Eleven Wise,Ghana,1245,42,-
2026,Eleven Wonders FC,Ghana,1255,166,+
384,Elfsborg,Sweden,1468,99,+
1672,Elima,Congo DR,1282,13,-
2455,Elmina Sharks,Ghana,1225,499,-
186,Emelec,Ecuador,1552,0,+
2742,Emirates Club,United Arab Emirates,1166,60,-
297,Empoli FC,Italy,1498,32,-
1575,Enosis Paralimni,Cyprus,1289,23,-
610,ENPPI,Egypt,1407,81,+
1852,Entente Sportive du Bafing,Ivory Coast,1267,233,+
565,Enugu Rangers,Nigeria,1420,19,-
769,Envigado,Colombia,1380,139,+
505,Enyimba,Nigeria,1433,44,-
1727,EO Sidi Bouzid,Tunisia,1277,0,-
2231,Erakor Golden Star,Vanuatu,1243,39,-
1404,Ergotelis,Greece,1303,3,-
1951,Ermis Aradippou,Cyprus,1260,5,-
1038,Erzurum BB,Turkey,1342,3,-
2469,ES Bingerville,Ivory Coast,1224,25,-
418,ES S��tif,Algeria,1457,82,-
1757,Esan United,Thailand,1274,1,-
1823,Esbjerg fB,Denmark,1269,11,-
1004,Eski?ehirspor,Turkey,1346,3,-
146,Esperance de Tunis,Tunisia,1579,36,-
2268,Espoir,Niger,1241,37,-
1817,ESPOLI,Ecuador,1270,10,-
168,Esteghlal,Iran,1566,56,+
2606,Esteghlal Ahvaz,Iran,1208,16,-
1564,Esteghlal Khuzestan FC,Iran,1290,23,-
685,Estoril,Portugal,1394,158,+
2619,Estudiantes de Caracas,Venezuela,1206,13,-
87,Estudiantes de la Plata,Argentina,1638,153,+
1541,Estudiantes de M��rida,Venezuela,1292,155,+
1324,Estudiantes Tecos,Mexico,1311,3,-
1320,Etar,Bulgaria,1312,6,-
1573,Ethnikos Achnas,Cyprus,1290,242,-
2171,Etoile du Kivu,Congo DR,1247,65,-
285,Etoile du Sahel,Tunisia,1503,76,-
1238,Etoile Metlaoui,Tunisia,1321,21,-
1406,Eupen,Belgium,1303,519,-
578,Everton CD,Chile,1418,141,+
135,Everton FC,England,1587,67,-
481,Evian TG,France,1439,1,-
853,Excelsior,Netherlands,1366,11,-
1838,F91 Dudelange,Luxembourg,1268,8,-
2047,FA ?iauliai,Lithuania,1254,60,+
2697,Fajardo,Puerto Rico,1187,8,-
1758,Fajr Sepasi,Iran,1274,543,-
2609,Falkenbergs FF,Sweden,1206,16,-
1695,Falkirk,Scotland,1280,5,-
546,FAR Rabat,Morocco,1425,62,+
936,Farul Constan?a,Romania,1355,505,+
486,Fatih Karag��mr��k,Turkey,1437,53,+
1370,Fauve Azur Elite FC,Cameroon,1306,71,+
2483,FB Gulbene,Latvia,1222,31,-
245,FBC Melgar,Peru,1522,357,+
2443,FC Academia Chisinau,Moldova,1225,25,-
2138,FC Alashkert,Armenia,1249,32,-
1514,FC Anzhi Makhachkala,Russia,1294,28,-
858,FC Arda Kardzhali,Bulgaria,1366,134,-
1795,FC Arsenal Dzerzhinsk,Belarus,1271,354,-
1162,FC Arsenal Kiev,Ukraine,1328,4,-
1124,FC Ashdod,Israel,1333,318,-
172,FC Basel,Switzerland,1563,21,-
1079,FC Bravos DO Maquis,Angola,1339,46,+
632,FC Brest,Belarus,1404,347,-
1627,FC Carlos Stein,Peru,1286,286,-
1227,FC Chindia Targovi?te,Romania,1323,87,-
2624,FC Cincinnati,United States,1204,20,+
2763,FC Codru Lozova,Moldova,1138,1,-
812,FC CSKA 1948 Sofia,Bulgaria,1373,410,+
759,FC Dallas,United States,1382,55,+
1421,FC Daugava,Latvia,1302,1,-
652,FC Dinamo Batumi,Georgia,1400,333,+
1685,FC Dnyapro Mogilev,Belarus,1281,142,-
1517,FC Dordrecht,Netherlands,1294,32,-
1706,FC Dun?rea C?l?ra?i,Romania,1279,4,-
2354,FC Edmonton,Canada,1233,41,-
674,FC Emmen,Netherlands,1397,8,-
962,FC Energetik-BGU Minsk,Belarus,1352,393,+
379,FC Famalic?o,Portugal,1469,11,-
1278,FC Fastav Zlin,Czech Republic,1316,153,+
2739,FC Flore?ti,Moldova,1168,295,-
2232,FC Gagra,Georgia,1243,126,-
2090,FC Goa,India,1251,1,-
587,FC Groningen,Netherlands,1416,241,-
2677,FC Guria Lanchkhuti,Georgia,1192,9,-
2350,FC Helsing?r,Denmark,1234,40,-
351,FC Infonet Tallinn,Estonia,1476,2,-
507,FC Inter Turku (FIN),Finland,1433,69,-
1134,FC Ju��rez,Mexico,1331,371,-
2758,FC Jurmala,Latvia,1149,3,-
1889,FC Kapaz,Azerbaijan,1264,2,-
2757,FC Kolkheti-1913 Poti,Georgia,1152,0,-
606,FC Kolos Kovalivka,Ukraine,1408,135,-
201,FC Krasnodar,Russia,1541,59,+
2540,FC KTP,Finland,1217,860,-
2652,FC Kuressaare,Estonia,1198,107,+
885,FC Lahti,Finland,1362,167,-
2149,FC Lubumbashi sport,Congo DR,1248,155,-
1802,FC Luch Minsk,Belarus,1270,9,-
1441,FC Lviv,Ukraine,1300,44,+
2381,FC Ma'an,Jordan,1231,156,-
2199,FC Maktaaral,Kazakhstan,1245,93,-
2348,FC Masr,Egypt,1234,39,-
2512,FC Merani Tbilisi,Georgia,1220,29,-
148,FC Midtjylland,Denmark,1578,32,+
388,FC Milsami Orhei,Moldova,1466,14,-
1896,FC Minaj,Ukraine,1264,381,-
1190,FC Minsk,Belarus,1326,27,-
2205,FC MK,Congo DR,1244,39,-
920,FC Nizhny Novgorod,Russia,1357,41,+
709,FC Orenburg,Russia,1390,12,-
2187,FC Pasching,Austria,1246,44,-
695,FC Platinum,Zimbabwe,1393,61,+
13,FC Porto,Portugal,1841,3,+
2376,FC Pune City,India,1232,37,-
1794,FC Rapid Ghidighici,Moldova,1271,10,-
2247,FC Renaissance du Congo,Denmark,1242,53,-
584,FC Ruh Brest,Belarus,1416,198,+
2628,FC Rustavi,Georgia,1203,11,-
1755,FC Samgurali Tskhaltubo,Georgia,1274,229,+
2544,FC Samtredia,Georgia,1216,297,-
2589,FC Saxan,Moldova,1209,19,-
664,FC Seoul,South Korea,1398,196,+
60,FC Sheriff,Moldova,1683,13,+
2708,FC Shukura Kobuleti,Georgia,1181,7,-
2235,FC Simba,Denmark,1243,159,-
2591,FC Sioni Bolnisi,Georgia,1209,12,-
925,FC Skonto Riga,Latvia,1357,11,-
2576,FC Smorgon,Belarus,1212,10,-
2270,FC Spicul Chi?c?reni,Moldova,1241,37,-
489,FC St. Gallen 1879,Switzerland,1436,98,+
1362,FC Struga Trim-Lum,Nigeria,1307,26,-
2572,FC Stumbras,Lithuania,1212,24,-
1957,FC Telavi,Georgia,1260,370,+
491,FC Tokyo,Japan,1436,13,+
2753,FC Torpedo Minsk,Belarus,1156,1,-
825,FC Torpedo Moscow,Russia,1370,14,-
1359,FC Tsarsko Selo Sofia 2015,Bulgaria,1308,129,-
1954,FC Tskhinvali,Georgia,1260,4,-
150,FC Twente,Netherlands,1576,497,+
1180,FC U Craiova 1948,Romania,1327,261,+
721,FC Ufa,Russia,1389,87,-
543,FC Ural,Russia,1425,1,+
282,FC Utrecht,Netherlands,1504,127,-
1567,FC Vaduz,Switzerland,1290,23,-
423,FC Vaslui,Romania,1456,10,-
857,FC Veris,Moldova,1366,12,-
756,FC Vizela,Portugal,1382,103,-
973,FC Voluntari,Romania,1351,423,+
1932,FC Wacker Innsbruck,Austria,1261,4,-
1365,FC Zbrojovka Brno,Czech Republic,1307,5,-
2746,FC Zugdidi,Georgia,1164,2,-
64,FCI Levadia Tallinn,Estonia,1669,6,+
1515,Feirense,Portugal,1294,30,-
113,Fenerbah?e,Turkey,1608,35,+
628,F��nix,Uruguay,1405,32,-
174,Ferencv��ros,Hungary,1562,48,-
1778,Ferrovi��rio da Beira,Mozambique,1272,4,-
2339,Ferrovi��rio Do Huambo,Angola,1235,100,-
947,Feutcheu FC,Cameroon,1354,116,-
49,Feyenoord,Netherlands,1697,53,+
1655,FF Jaro,Finland,1284,14,-
2257,FH Hafnarfjordur,Iceland,1241,39,-
503,Figueirense,Brazil,1434,8,-
1917,Finn Harps,Ireland,1262,71,-
94,Fiorentina,Italy,1630,14,+
1115,FK AGMK,Uzbekistan,1334,222,+
400,FK Akhmat Grozny,Russia,1463,20,+
2044,FK Aksu,Kazakhstan,1254,63,+
2058,FK Arys,Kazakhstan,1253,142,+
2281,FK Atlantas,Lithuania,1240,38,-
2100,FK Auda,Latvia,1250,7,-
2752,FK Ba?ka Palanka,Serbia,1158,0,-
2673,FK Belasica Strumica,Macedonia,1193,10,-
2021,FK Bokelj,Montenegro,1255,1,-
2401,FK Borec Veles,Nigeria,1230,715,-
2332,FK Bregalnica Stip,Macedonia,1235,180,+
446,FK Desna Chernihiv,Ukraine,1449,79,-
1904,FK Donji Srem,Serbia,1263,6,-
2643,FK Drina Zvornik,Bosnia and Herzegovina,1200,12,-
2242,FK Gorno Lisice,Macedonia,1242,39,-
1214,FK Gorodeya,Belarus,1324,9,-
2702,FK Gostivar,Macedonia,1185,8,-
2549,FK Guliston,Uzbekistan,1216,21,-
1077,FK Haugesund,Norway,1339,291,-
1994,FK Horizont Turnovo,Macedonia,1257,4,-
2494,FK In?ija,Serbia,1221,29,-
1170,FK Inhulets' Petrove,Ukraine,1328,249,-
1289,FK Iskra,Montenegro,1315,28,-
1728,FK Istiqlol Dushanbe,Tajikistan,1277,102,-
2620,FK Jelgava,Latvia,1205,13,-
1739,FK Jerv,Norway,1276,298,-
1881,FK Jezero Plav,Montenegro,1265,94,+
1777,FK Kaspiy Aktau,Kazakhstan,1272,219,+
1424,FK Kauno Zalgiris,Lithuania,1301,48,-
1435,FK Kolubara,Serbia,1301,6,+
2147,FK Kom Podgorica,Montenegro,1248,41,-
1944,FK Krupa,Bosnia and Herzegovina,1260,2,-
2699,FK Leotar,Bosnia and Herzegovina,1186,28,+
989,FK Liep��jas Metalurgs,Latvia,1349,261,+
1364,FK Mariupol Illichivets',Ukraine,1307,547,-
1977,FK Metalac,Serbia,1258,365,-
2627,Fk Metalurg Skopje,Macedonia,1203,11,-
2769,FK Metta,Latvia,1090,0,-
2238,FK Mladost Doboj Kakanj,Bosnia and Herzegovina,1242,37,-
1003,FK Mladost Lu?ani,Serbia,1346,68,-
2113,FK Olympic Tashkent,Uzbekistan,1250,6,-
2653,FK Palanga,Lithuania,1198,11,-
1473,FK Panev??ys,Lithuania,1298,497,+
784,FK Pardubice,Czech Republic,1377,175,-
2427,FK Podgorica,Montenegro,1227,171,-
2435,FK Pohronie,Slovakia,1226,857,-
1720,FK Proleter Novi Sad,Serbia,1277,487,-
912,FK Radnik Surdulica,Serbia,1358,236,+
26,FK Red Star Belgrade,Serbia,1767,9,+
924,FK Riteriai,Lithuania,1357,13,+
477,FK Rostov,Russia,1440,126,-
1243,FK Rotor Volgograd,Russia,1320,1,-
454,FK Sarajevo,Bosnia and Herzegovina,1447,119,-
2389,FK Senica,Slovakia,1230,193,-
1287,FK Septemvri Sofia,Bulgaria,1315,6,-
2107,FK ?ilas,Lithuania,1250,0,-
1922,FK Sileks,Macedonia,1262,6,-
2423,FK Skopje,Macedonia,1227,77,-
1433,FK Slutsk,Belarus,1301,427,+
1228,FK Spartak Subotica,Serbia,1323,212,-
2347,FK Spartaks,Latvia,1234,447,-
2714,FK Sputnik Rechytsa,Belarus,1180,739,-
1713,FK Tambov,Russia,1278,4,-
2725,FK Tauras Taurage,Lithuania,1174,6,-
2692,FK Teteks,Macedonia,1189,7,-
1280,FK Tosno,Russia,1316,4,-
2713,FK Tukums 2000,Latvia,1180,46,-
2405,FK Turan,Uzbekistan,1229,66,-
1078,FK Tuzla City,Bosnia and Herzegovina,1339,220,+
2570,FK Utenis Utena,Lithuania,1213,23,-
1268,FK Vitebsk,Belarus,1318,395,-
1846,FK Zemun,Serbia,1267,8,-
869,FK Zirka Kirovohrad,Ukraine,1364,145,+
2292,FK Zlatibor ?ajetina,Serbia,1238,44,-
2000,FK Zvijezda 09,Bosnia and Herzegovina,1257,3,-
1621,FKS Stal Mielec,Poland,1287,26,-
2191,Flame Lilly,Zimbabwe,1245,44,-
40,Flamengo,Brazil,1721,16,-
1959,Flint Town United,Wales,1260,266,+
38,Flora Tallinn,Estonia,1722,7,+
106,Fluminense FC,Brazil,1613,48,-
437,Foolad Khuzestan,Iran,1451,179,+
2302,Forest Rangers,Zambia,1237,120,+
2225,Forge FC,Canada,1243,118,-
216,Fortaleza,Colombia,1535,41,+
203,Fortuna D��sseldorf,Germany,1541,2,-
750,Fortuna Sittard,Netherlands,1383,135,-
854,Fovu de Baham,Cameroon,1366,24,-
2756,FOX Villa FC,Nicaragua,1153,0,-
1511,Fredrikstad,Norway,1295,25,-
1571,Free State Stars,South Africa,1290,22,-
53,Freiburg,Germany,1688,34,+
631,Frosinone,Italy,1404,8,-
2634,Fuerza Amarilla SC,Ecuador,1202,11,-
416,Fulham,England,1457,8,-
692,FUS Rabat,Morocco,1393,89,-
896,Future FC,Egypt,1360,545,+
1987,Gab��s,Tunisia,1258,6,-
2019,Gaborone United,Botswana,1255,1,-
2577,Gagauziya,Moldova,1212,21,-
2276,Gahar Zagros,Iran,1240,38,-
1710,GAIS,Sweden,1278,4,-
2006,Gaitcha FCN,New Caledonia,1256,3,-
242,Galatasaray,Turkey,1524,135,-
1930,Galway United FC,Ireland,1262,6,-
686,Gamba Osaka,Japan,1394,116,-
926,Gangwon FC,South Korea,1357,61,-
1675,Gateway FC,Nigeria,1282,11,-
2129,Gaz Metan Media?,Romania,1249,1271,-
1558,Gaziantepspor,Turkey,1291,27,-
623,Gazi?ehir Gaziantep FK,Turkey,1406,124,-
2250,GD Baixa de Kassanje,Angola,1242,119,+
1422,Gefle,Sweden,1302,1,-
1260,Gen?lerbirligi,Turkey,1318,5,-
1154,General Caballero,Paraguay,1330,5,-
1148,General Caballero JLM,Paraguay,1330,187,-
1860,General D��az,Paraguay,1267,16,-
266,Genoa,Italy,1512,144,-
169,Gent,Belgium,1565,83,+
2314,Germinal Beerschot,Belgium,1237,1199,-
109,Getafe,Spain,1611,15,+
482,GFC Ajaccio,France,1438,2,-
2258,GFK Tikvesh,Nigeria,1241,152,-
2008,Ghazl El Mehalla,Egypt,1256,321,+
1725,GIF Sundsvall,Sweden,1277,234,-
2074,Gigira Laitepo,Papua New Guinea,1252,1,-
332,Gil Vicente FC,Portugal,1485,229,+
650,Gimcheon Sangmu FC,South Korea,1401,11,+
202,Gimnasia y Esgrima La Plata,Argentina,1541,125,+
807,Giresunspor,Turkey,1373,154,+
200,Girona,Spain,1542,4,-
1000,Giwa FC,Nigeria,1347,3,-
1550,Glenavon,Northern Ireland,1291,110,-
1031,Glentoran,Northern Ireland,1342,208,+
2359,Gloria Bistrita,Romania,1233,39,-
1218,Go Ahead Eagles,Netherlands,1324,730,+
1496,Go Round,Nigeria,1296,18,-
308,Godoy Cruz Antonio Tomba,Argentina,1493,167,+
269,Goi��s,Brazil,1512,83,+
